
=== 실험3: 전체 진행 시뮬 (챕터 1→100, 골드=슬롯강화 · 다이아=뽑기 자동) ===
챕터   1: 시도   7회  슬롯 0/0/0/0/0/0  장비 —/—/일반/—/—/—  뽑기 1회  전투력 공3.00e+1·체3.00e+2  
챕터   2: 시도   4회  슬롯 0/0/0/0/0/0  장비 —/—/일반/—/희귀/—  뽑기 2회  전투력 공3.00e+1·체3.00e+2  
챕터   3: 시도 141회  슬롯 2/2/2/2/2/1  장비 전설/영웅/희귀/희귀/전설/전설  뽑기 31회  전투력 공3.01e+1·체3.01e+2  
챕터   4: 시도   4회  슬롯 2/2/2/2/2/1  장비 전설/영웅/희귀/희귀/전설/전설  뽑기 32회  전투력 공3.01e+1·체3.01e+2  
챕터   5: 시도   4회  슬롯 2/2/2/2/2/2  장비 전설/영웅/희귀/희귀/전설/전설  뽑기 33회  전투력 공3.01e+1·체3.01e+2  
챕터   6: 시도  44회  슬롯 3/2/2/2/2/2  장비 전설/영웅/전설/희귀/전설/전설  뽑기 42회  전투력 공3.02e+1·체3.02e+2  
챕터   7: 시도  38회  슬롯 3/3/3/2/2/2  장비 전설/영웅/전설/희귀/신화/전설  뽑기 50회  전투력 공3.44e+1·체3.44e+2  
챕터   8: 시도  52회  슬롯 3/3/3/3/3/3  장비 전설/영웅/전설/희귀/신화/전설  뽑기 61회  전투력 공4.16e+1·체4.16e+2  
챕터   9: 시도  17회  슬롯 3/3/3/3/3/3  장비 전설/영웅/전설/희귀/신화/전설  뽑기 64회  전투력 공4.16e+1·체4.16e+2  
챕터  10: 시도 194회  슬롯 4/4/3/3/3/3  장비 전설/전설/전설+1/신화/신화/전설  뽑기 105회  전투력 공5.33e+1·체5.33e+2  
챕터  11: 시도  64회  슬롯 4/4/4/4/3/3  장비 전설/전설/전설+1/신화/신화/전설  뽑기 118회  전투력 공7.25e+1·체7.25e+2  
챕터  12: 시도   8회  슬롯 4/4/4/4/3/3  장비 전설/전설/전설+1/신화/신화/전설  뽑기 120회  전투력 공7.25e+1·체7.25e+2  
챕터  13: 시도  17회  슬롯 4/4/4/4/4/3  장비 전설/전설/전설+1/신화/신화/전설  뽑기 123회  전투력 공9.16e+1·체9.16e+2  
챕터  14: 시도   8회  슬롯 4/4/4/4/4/3  장비 전설/전설/전설+1/신화/신화/전설  뽑기 125회  전투력 공9.16e+1·체9.16e+2  
챕터  15: 시도  10회  슬롯 4/4/4/4/4/4  장비 전설/전설/전설+1/신화/신화/전설  뽑기 127회  전투력 공9.17e+1·체9.17e+2  
챕터  16: 시도  36회  슬롯 5/4/4/4/4/4  장비 전설/전설/전설+1/신화/신화/전설  뽑기 134회  전투력 공9.21e+1·체9.21e+2  
챕터  17: 시도  38회  슬롯 5/4/4/4/4/4  장비 전설/전설/전설+1/신화/신화/전설  뽑기 142회  전투력 공9.21e+1·체9.21e+2  
챕터  18: 시도  36회  슬롯 5/5/4/4/4/4  장비 전설/신화/전설+1/신화/신화/전설  뽑기 150회  전투력 공1.73e+2·체1.73e+3  
