
=== 실험3: 전체 진행 시뮬 (챕터 1→100, 골드=슬롯강화 · 다이아=뽑기 자동) ===
챕터   1: 시도   6회  슬롯 0/0/0/0/0/0  장비 —/—/—/일반/—/—  뽑기 1회  전투력 공3.00e+1·체3.00e+2  
챕터   2: 시도   1회  슬롯 0/0/0/0/0/0  장비 —/—/—/일반/—/—  뽑기 1회  전투력 공3.00e+1·체3.00e+2  
챕터   3: 시도   1회  슬롯 0/0/0/0/0/0  장비 —/—/—/일반/—/—  뽑기 1회  전투력 공3.00e+1·체3.00e+2  
챕터   4: 시도  80회  슬롯 2/2/1/1/1/1  장비 일반/영웅/희귀/희귀/일반/전설  뽑기 18회  전투력 공3.00e+1·체3.00e+2  
챕터   5: 시도  26회  슬롯 2/2/2/2/1/1  장비 일반/영웅/희귀/희귀/일반/전설  뽑기 23회  전투력 공3.00e+1·체3.00e+2  
챕터   6: 시도 116회  슬롯 3/3/3/2/2/2  장비 전설/전설/영웅/희귀/전설/전설  뽑기 47회  전투력 공3.02e+1·체3.02e+2  
챕터   7: 시도  16회  슬롯 3/3/3/2/2/2  장비 전설/전설/영웅/신화/전설/전설  뽑기 51회  전투력 공3.44e+1·체3.44e+2  
챕터   8: 시도  22회  슬롯 3/3/3/3/3/2  장비 전설/전설/영웅/신화/전설/전설  뽑기 55회  전투력 공4.16e+1·체4.16e+2  
챕터   9: 시도  18회  슬롯 3/3/3/3/3/3  장비 전설/전설/영웅/신화/전설/전설  뽑기 59회  전투력 공4.17e+1·체4.17e+2  
챕터  10: 시도 197회  슬롯 4/4/3/3/3/3  장비 전설+1/전설/전설/신화/신화/전설  뽑기 100회  전투력 공5.33e+1·체5.33e+2  
챕터  11: 시도  27회  슬롯 4/4/4/4/3/3  장비 전설+1/전설/전설/신화/신화/전설  뽑기 106회  전투력 공7.25e+1·체7.25e+2  
챕터  12: 시도  19회  슬롯 4/4/4/4/4/3  장비 전설+1/전설/전설/신화/신화/전설  뽑기 110회  전투력 공9.16e+1·체9.16e+2  
챕터  13: 시도   1회  슬롯 4/4/4/4/4/3  장비 전설+1/전설/전설/신화/신화/전설  뽑기 110회  전투력 공9.16e+1·체9.16e+2  
챕터  14: 시도  20회  슬롯 4/4/4/4/4/4  장비 전설+1/전설/전설/신화/신화/전설  뽑기 114회  전투력 공9.17e+1·체9.17e+2  
챕터  15: 시도  11회  슬롯 4/4/4/4/4/4  장비 전설+1/전설/전설/신화/신화/전설  뽑기 116회  전투력 공9.17e+1·체9.17e+2  
챕터  16: 시도  19회  슬롯 5/4/4/4/4/4  장비 전설+1/전설/전설/신화/신화/전설  뽑기 120회  전투력 공9.21e+1·체9.21e+2  
챕터  17: 시도  89회  슬롯 5/5/5/5/4/4  장비 전설+1/전설+1/전설/신화/신화/전설  뽑기 139회  전투력 공1.44e+2·체1.44e+3  
챕터  18: 시도   1회  슬롯 5/5/5/5/4/4  장비 전설+1/전설+1/전설/신화/신화/전설  뽑기 139회  전투력 공1.44e+2·체1.44e+3  
