
=== 실험3: 전체 진행 시뮬 (챕터 1→100, 골드=슬롯강화 · 다이아=뽑기 자동) ===
챕터   1: 시도   2회  슬롯 0/0/0/0/0/0  장비 —/—/—/—/—/—  뽑기 0회  전투력 공3.00e+1·체3.00e+2  
챕터   2: 시도  44회  슬롯 1/1/1/1/0/0  장비 희귀/일반/일반/—/일반/일반  뽑기 9회  전투력 공3.00e+1·체3.00e+2  
챕터   3: 시도   9회  슬롯 1/1/1/1/1/0  장비 희귀/일반/일반/—/전설/일반  뽑기 11회  전투력 공3.00e+1·체3.00e+2  
챕터   4: 시도  45회  슬롯 2/1/1/1/1/1  장비 희귀/일반/전설/영웅/전설/일반  뽑기 20회  전투력 공3.00e+1·체3.00e+2  
챕터   5: 시도   3회  슬롯 2/1/1/1/1/1  장비 영웅/일반/전설/영웅/전설/일반  뽑기 21회  전투력 공3.00e+1·체3.00e+2  
챕터   6: 시도 149회  슬롯 3/2/2/2/2/2  장비 전설/전설/신화/영웅/전설/희귀  뽑기 52회  전투력 공3.44e+1·체3.44e+2  
챕터   7: 시도   9회  슬롯 3/2/2/2/2/2  장비 전설/전설/신화/영웅/전설/희귀  뽑기 54회  전투력 공3.44e+1·체3.44e+2  
챕터   8: 시도  69회  슬롯 3/3/3/3/2/2  장비 전설+1/전설/신화/영웅/전설/영웅  뽑기 68회  전투력 공4.15e+1·체4.15e+2  
챕터   9: 시도  24회  슬롯 3/3/3/3/3/3  장비 전설+1/전설/신화/영웅/전설/영웅  뽑기 73회  전투력 공4.16e+1·체4.16e+2  
챕터  10: 시도 147회  슬롯 4/3/3/3/3/3  장비 전설+1/신화/신화/영웅/전설/영웅  뽑기 104회  전투력 공5.30e+1·체5.30e+2  
챕터  11: 시도   6회  슬롯 4/3/3/3/3/3  장비 전설+1/신화/신화/영웅/전설/영웅  뽑기 105회  전투력 공5.30e+1·체5.30e+2  
챕터  12: 시도  46회  슬롯 4/4/3/3/3/3  장비 전설+1/신화/신화/영웅/전설/영웅  뽑기 115회  전투력 공7.21e+1·체7.21e+2  
챕터  13: 시도   3회  슬롯 4/4/3/3/3/3  장비 전설+1/신화/신화/영웅/전설/영웅  뽑기 115회  전투력 공7.21e+1·체7.21e+2  
챕터  14: 시도  27회  슬롯 4/4/4/4/3/3  장비 전설+1/신화/신화/영웅/전설/영웅  뽑기 121회  전투력 공9.12e+1·체9.12e+2  
챕터  15: 시도   1회  슬롯 4/4/4/4/3/3  장비 전설+1/신화/신화/영웅/전설/영웅  뽑기 121회  전투력 공9.12e+1·체9.12e+2  
챕터  16: 시도  64회  슬롯 4/4/4/4/4/4  장비 전설+1/신화/신화/전설/전설/영웅  뽑기 134회  전투력 공9.15e+1·체9.15e+2  
챕터  17: 시도  55회  슬롯 5/5/4/4/4/4  장비 전설+1/신화/신화/전설/전설/영웅  뽑기 146회  전투력 공1.43e+2·체1.43e+3  
챕터  18: 시도   6회  슬롯 5/5/4/4/4/4  장비 전설+1/신화/신화/전설/전설/영웅  뽑기 147회  전투력 공1.43e+2·체1.43e+3  
챕터  19: 시도   1회  슬롯 5/5/4/4/4/4  장비 전설+1/신화/신화/전설/전설/영웅  뽑기 147회  전투력 공1.43e+2·체1.43e+3  
챕터  20: 시도   8회  슬롯 5/5/5/4/4/4  장비 전설+1/신화/신화/전설/전설/영웅  뽑기 149회  전투력 공1.94e+2·체1.94e+3  
챕터  21: 시도   7회  슬롯 5/5/5/4/4/4  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 151회  전투력 공2.24e+2·체2.24e+3  
챕터  22: 시도   2회  슬롯 5/5/5/5/4/4  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 151회  전투력 공2.76e+2·체2.76e+3  
챕터  23: 시도   1회  슬롯 5/5/5/5/4/4  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 151회  전투력 공2.76e+2·체2.76e+3  
챕터  24: 시도   1회  슬롯 5/5/5/5/4/4  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 151회  전투력 공2.76e+2·체2.76e+3  
챕터  25: 시도   7회  슬롯 5/5/5/5/5/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 153회  전투력 공2.90e+2·체2.90e+3  
챕터  26: 시도   3회  슬롯 5/5/5/5/5/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 153회  전투력 공2.90e+2·체2.90e+3  
챕터  27: 시도   3회  슬롯 5/5/5/5/5/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 154회  전투력 공2.90e+2·체2.90e+3  
챕터  28: 시도   5회  슬롯 6/5/5/5/5/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 155회  전투력 공2.91e+2·체2.91e+3  
챕터  29: 시도  20회  슬롯 6/6/6/5/5/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 159회  전투력 공5.79e+2·체5.79e+3  
챕터  30: 시도   4회  슬롯 6/6/6/6/5/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 160회  전투력 공7.23e+2·체7.23e+3  
챕터  31: 시도   1회  슬롯 6/6/6/6/6/5  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 160회  전투력 공7.24e+2·체7.24e+3  
챕터  32: 시도   2회  슬롯 6/6/6/6/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 161회  전투력 공7.24e+2·체7.24e+3  
챕터  33: 시도   6회  슬롯 6/6/6/6/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 162회  전투력 공7.24e+2·체7.24e+3  
챕터  34: 시도   2회  슬롯 7/6/6/6/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 162회  전투력 공7.27e+2·체7.27e+3  
챕터  35: 시도   4회  슬롯 7/7/6/6/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 163회  전투력 공1.11e+3·체1.11e+4  
챕터  36: 시도   3회  슬롯 7/7/7/6/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 164회  전투력 공1.50e+3·체1.50e+4  
챕터  37: 시도   1회  슬롯 7/7/7/6/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 164회  전투력 공1.50e+3·체1.50e+4  
챕터  38: 시도   1회  슬롯 7/7/7/7/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 164회  전투력 공1.88e+3·체1.88e+4  
챕터  39: 시도   1회  슬롯 7/7/7/7/6/6  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 164회  전투력 공1.88e+3·체1.88e+4  
챕터  40: 시도   2회  슬롯 7/7/7/7/7/7  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 165회  전투력 공1.89e+3·체1.89e+4  
챕터  41: 시도   1회  슬롯 7/7/7/7/7/7  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 165회  전투력 공1.89e+3·체1.89e+4  
챕터  42: 시도   2회  슬롯 8/7/7/7/7/7  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 166회  전투력 공1.89e+3·체1.89e+4  
챕터  43: 시도   6회  슬롯 8/8/7/7/7/7  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 167회  전투력 공2.93e+3·체2.93e+4  
챕터  44: 시도   2회  슬롯 8/8/8/7/7/7  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 167회  전투력 공3.96e+3·체3.96e+4  
챕터  45: 시도   1회  슬롯 8/8/8/8/7/7  장비 전설+1/신화/신화/신화/전설/영웅  뽑기 167회  전투력 공5.00e+3·체5.00e+4  
