
=== 실험4: 장비 진행 (하루 다이아 2500 · 30판/일 · 180일) ===
    1일차: 챕터   2 클리어  슬롯 1/1/1/0/0/0  신화 0/6  장비 —/희귀/희귀/일반/일반/—  누적뽑기 6
    3일차: 챕터   5 클리어  슬롯 2/1/1/1/1/1  신화 0/6  장비 희귀/영웅/영웅/전설/희귀/영웅  누적뽑기 18
    7일차: 챕터   8 클리어  슬롯 3/3/3/2/2/2  신화 0/6  장비 전설/영웅/영웅/전설/전설/전설  누적뽑기 43
   14일차: 챕터   9 클리어  슬롯 4/3/3/3/3/3  신화 1/6  장비 전설/전설/전설/신화/전설/전설  누적뽑기 87
   30일차: 챕터  30 클리어  슬롯 7/7/7/6/6/6  신화 2/6  장비 전설+1/전설/전설/신화/신화/전설+1  누적뽑기 187
   60일차: 챕터 234 클리어  슬롯 39/39/39/39/39/39  신화 5/6  장비 전설+2/신화/신화/신화/신화/신화  누적뽑기 374
   90일차: 챕터 326 클리어  슬롯 56/56/55/55/55/55  신화 6/6  장비 신화/신화/신화/신화/신화/신화  누적뽑기 562
  120일차: 챕터 373 클리어  슬롯 63/63/63/63/63/63  신화 6/6  장비 신화/신화/신화/신화+1/신화/신화  누적뽑기 749
  150일차: 챕터 402 클리어  슬롯 68/68/68/68/68/68  신화 6/6  장비 신화/신화/신화/신화+1/신화/신화  누적뽑기 937
  180일차: 챕터 423 클리어  슬롯 72/72/72/72/71/71  신화 6/6  장비 신화/신화/신화+1/신화+1/신화+1/신화  누적뽑기 1124
최종: 챕터 423 클리어 · 슬롯 72/72/72/72/71/71 · 신화 부위 6/6 · 뽑기 1124회 · 합성 519회 · 총 5400판
