
=== 실험4: 장비 진행 (하루 다이아 2500 · 30판/일 · 180일) ===
    1일차: 챕터   1 클리어  슬롯 1/1/0/0/0/0  신화 0/6  장비 —/—/희귀/영웅/일반/—  누적뽑기 6
    3일차: 챕터   4 클리어  슬롯 2/1/1/1/1/1  신화 0/6  장비 희귀/일반/희귀/전설/전설/일반  누적뽑기 18
    7일차: 챕터   5 클리어  슬롯 2/2/2/2/2/2  신화 0/6  장비 전설/희귀/영웅/전설/전설/전설  누적뽑기 43
   14일차: 챕터   9 클리어  슬롯 3/3/3/3/3/2  신화 1/6  장비 전설/영웅/신화/전설/전설/전설  누적뽑기 87
   30일차: 챕터  12 클리어  슬롯 4/4/4/3/3/3  신화 2/6  장비 전설+1/전설/신화/전설/신화/전설+1  누적뽑기 187
   60일차: 챕터 202 클리어  슬롯 35/35/35/35/35/34  신화 4/6  장비 신화/전설+1/신화/전설+1/신화/신화  누적뽑기 374
   90일차: 챕터 299 클리어  슬롯 52/52/51/51/51/51  신화 4/6  장비 신화/전설+3/신화/전설+1/신화/신화  누적뽑기 562
  120일차: 챕터 312 클리어  슬롯 55/54/54/54/54/54  신화 5/6  장비 신화/신화/신화/전설+2/신화/신화  누적뽑기 749
  150일차: 챕터 327 클리어  슬롯 57/57/57/57/56/56  신화 5/6  장비 신화/신화/신화/전설+3/신화/신화  누적뽑기 937
  180일차: 챕터 344 클리어  슬롯 59/59/59/59/59/59  신화 5/6  장비 신화/신화+1/신화+1/전설+4/신화/신화  누적뽑기 1124
최종: 챕터 344 클리어 · 슬롯 59/59/59/59/59/59 · 신화 부위 5/6 · 뽑기 1124회 · 합성 516회 · 총 5400판
